division,team_name,first_name,last_name,height,year,,,,,
mens-d1,Indiana St.,Xavier,Hall,72,Sr,,,,,
mens-d1,Indiana St.,Hunter,Harding,85,So,,,,,
mens-d1,Indiana St.,Markus,Harding,82,Sr,,,,,
mens-d1,Indiana St.,Caden,Huttenlocker,74,Jr,,,,,
mens-d1,Indiana St.,Ian,Scott,79,Sr,,,,,
mens-d1,Indiana St.,Enel,St. Bernard,78,Jr,,,,,
mens-d1,Indiana St.,Jo,Van Buggenhout,74,Jr,,,,,
mens-d1,Indiana St.,Derek,Vorst,82,Jr,,,,,
mens-d1,Indiana St.,Camp,Wagner,78,Jr,,,,,
mens-d1,Indiana St.,Jayan,Walker,78,So,,,,,
mens-d1,Indiana St.,Sivert,Wærstad Nordheim,78,Fr,,,,,
mens-d1,Indiana St.,Sterling,Young,73,Sr,,,,,
mens-d1,Iona,C.J.,Anthony,72,Sr,,,,,
mens-d1,Iona,Oscar,Hourruitiner,72,Fr,,,,,
mens-d1,Jacksonville,Michael,Harper,75,Fr,,,,,
mens-d1,Jacksonville,Chris,Lockett,,So,,,,,
mens-d1,Jacksonville,Jason,"Thirdkill, Jr.",79,Sr,,,,,
mens-d1,Kent St.,Derrick,Lee Jr.,,,,,,,
mens-d1,Liberty,Isaiah,Ihnen,81,Jr,,,,,
mens-d1,Mississippi Val.,Xzayvion,Childress,72,Jr,,,,,
mens-d1,Mississippi Val.,George,Ivory III,74,Sr,,,,,
mens-d1,Mississippi Val.,PJ,McDonald,77,So,,,,,
mens-d1,Mount St. Mary's,Anthony,"Arrington, Jr.",74,Jr,,,,,
mens-d1,New Orleans,Jihad,el Khatib,,,,,,,
mens-d1,Portland,Samuel,Noland,73,Sr,,,,,
mens-d1,Quinnipiac,Samuel,Nosakhare,81,Fr,,,,,
mens-d1,Saint Peter's,Robert,Wilmote,76,So,,,,,
mens-d1,Santa Clara,Sash,Gavalyugov,75,Fr,,,,,
mens-d1,Santa Clara,Juan,Reyna,75,Sr,,,,,
mens-d1,South Carolina St.,Rayniel,Wright,72,Jr,,,,,
mens-d1,Southern U.,D'Mari,Wiltz,,Sr,,,,,
mens-d1,Virginia,Johann,Grünloh,84,Fr,,,,,
mens-d1,Xavier,Henry,Thole,79,So,,,,,
