division	team_name	first_name	last_name	height	year
mens-d1	Canisius	Brendan	Oliver	6-6	Fr
mens-d1	Canisius	Kahlil	Singleton	6-3	Jr
mens-d1	Canisius	Myles	Wilmoth	6-10	Sr
mens-d1	Canisius	Evan	van der Plas	6-5	So
mens-d1	Central Ark.	Harrison	Beauchamp	6-5	Fr
mens-d1	Central Ark.	John	Shulman		
mens-d1	Central Conn. St.	Daniel Etiosa	James	6-8	So
mens-d1	Central Conn. St.	Darin	Smith, Jr	6-7	So
mens-d1	Central Mich.	Phat Phat	Brooks	6-2	So
mens-d1	Charleston So	A.J.	Gladieux	6-2	Fr
mens-d1	Charlotte	Ra̼l	Villar	6-3	Fr
mens-d1	Chattanooga	Teddy	Washington, Jr	6-2	Sr
mens-d1	Chicago St.	Lionel	Larvadain	6-0	So
mens-d1	Cincinnati	Day Day	Thomas	6-1	Sr
mens-d1	Clemson	Efrem	Johnson	6-4	Sr
mens-d1	Cleveland St.	Tre	Beard	5-10	Sr
mens-d1	Cleveland St.	Lucas	Burton	6-8	Sr
mens-d1	Cleveland St.	Chevalier	Emery	6-0	Jr
mens-d1	Cleveland St.	David	Giddens	6-7	Jr
mens-d1	Cleveland St.	Josiah	Harris	6-7	Jr
mens-d1	Cleveland St.	Manny	Hill	6-0	Sr
mens-d1	Cleveland St.	Kamari	Jones	6-4	So
mens-d1	Cleveland St.	Jaidon	Lipscomb	6-5	Sr
mens-d1	Cleveland St.	Dayan	Nessah	6-7	So
mens-d1	Cleveland St.	Holden	Pierre-Louis	6-8	So
mens-d1	Cleveland St.	Preist	Ryan	6-6	Jr
mens-d1	Cleveland St.	Ivan	Spirov	6-8	Jr
mens-d1	Cleveland St.	Kevo	St.Hilaire	6-10	Fr
mens-d1	Cleveland St.	Foster	Wonders	6-5	Sr
mens-d1	Col. of Charleston	Chris	Davis Jr	6-4	Fr
mens-d1	Colgate	Josh	Ahayere	6-3	So
mens-d1	Colgate	Andrew	Alekseyenko	6-8	Fr
mens-d1	Colgate	Cameron	Brennan	7-0	So
mens-d1	Colgate	Ethan	Brown	6-10	So
mens-d1	Colgate	Kyle	Carlesimo	6-2	Sr
mens-d1	Colgate	Jalen	Cox	6-3	Jr
mens-d1	Colgate	Brady	Cummins	6-6	Sr
mens-d1	Colgate	Jonathan	Niv	6-5	Fr
mens-d1	Colgate	Ayomi	Odetoyinbo	6-10	Fr
mens-d1	Colgate	Charles	Pugh	6-4	Fr
mens-d1	Colgate	Ben	Tweedy	6-4	So
mens-d1	Colgate	Cooper	Wright	6-5	Jr
mens-d1	Colgate	Sam	Wright	6-9	Jr
mens-d1	Colorado	Fawaz "Tacko"	Ifaola	7-0	Fr
mens-d1	Coppin St.	Favour	Aire	6-11	Sr
mens-d1	Coppin St.	Torrin	Andrews	6-4	Sr
mens-d1	Coppin St.	Josiah	Brown	6-5	So
mens-d1	Coppin St.	Demariontay	Hall	6-7	Sr
mens-d1	Coppin St.	Khali	Horton	6-8	Jr
mens-d1	Coppin St.	Tyler	Koenig	6-9	Jr
mens-d1	Coppin St.	Nelson	Lamizana	6-9	Fr
mens-d1	Coppin St.	Daveyon	Lydner	6-4	Fr
mens-d1	Coppin St.	Chris	Morgan	6-9	Sr
mens-d1	Coppin St.	Macahi	Nelson	6-5	Sr
mens-d1	Coppin St.	Hassan	Perkins	6-0	Sr
mens-d1	Coppin St.	Jamari	Piercy	6-5	Jr
mens-d1	Coppin St.	Baasil	Saunders	6-4	Jr
mens-d1	Coppin St.	Camaren	Sparrow	6-4	Jr
mens-d1	Coppin St.	Taj	Thweatt	6-7	Sr
mens-d1	Coppin St.	Hussain	Williams	6-5	Jr
mens-d1	Dartmouth	Niko	Abusara	6-5	Jr
mens-d1	Dartmouth	Connor	Amundsen	5-11	So
mens-d1	Dartmouth	Ben	Brown	6-2	Jr
mens-d1	Dartmouth	Tyler	Garrett	6-10	Fr
mens-d1	Dartmouth	Cameron	Hiatt	6-4	Fr
mens-d1	Dartmouth	Khai	Lockwood	6-1	So
mens-d1	Dartmouth	Cameron	McNamee	6-6	So
mens-d1	Dartmouth	Brandon	Mitchell-Day	6-8	Sr
mens-d1	Dartmouth	Jackson	Munro	6-8	Sr
mens-d1	Dartmouth	Shanon	Simango	6-8	So
mens-d1	Dartmouth	Anton	Strelnikov	6-8	Fr
mens-d1	Dartmouth	Kareem	Thomas	6-5	So
mens-d1	Dartmouth	Patrick	Tivnan Jr	6-8	Jr
mens-d1	Dartmouth	Jayden	Williams	6-6	Sr
mens-d1	Davidson	JaQualon "JQ"	Roberts	6-8	Jr
mens-d1	Dayton	Amael	L'Etang	7-1	So
mens-d1	DePaul	Kaleb	Banks	6-8	Sr
mens-d1	DePaul	N.J.	Benson	6-8	Sr
mens-d1	DePaul	Layden	Blocker	6-2	Jr
mens-d1	DePaul	Fabian	Flores	7-2	Fr
mens-d1	DePaul	CJ	Gunn	6-7	Sr
mens-d1	DePaul	Nate	Kasher	6-1	Fr
mens-d1	DePaul	Jeremy	Lorenz	6-8	Jr
mens-d1	DePaul	Brandon	Maclin	6-3	Sr
mens-d1	DePaul	Khaman	Maker	7-1	So
mens-d1	DePaul	Kruz	McClure	6-6	Fr
mens-d1	DePaul	Ilija	Milijasevic	6-2	Jr
mens-d1	DePaul	Th̩o	Pierre-Justin	6-10	So
mens-d1	DePaul	RJ	Smith	6-3	Jr
mens-d1	Delaware	Brandon	Baffone	6-1	Jr
mens-d1	Delaware	Christian	Bliss	6-4	Jr
mens-d1	Delaware	Jameel	Brown	6-4	Sr
mens-d1	Delaware	Mason	Ellison	6-4	Fr
mens-d1	Delaware	Houston	Emory	6-9	Sr
mens-d1	Delaware	Macon	Emory	6-8	So
mens-d1	Delaware	Justyn	Fernandez	6-5	Sr
mens-d1	Delaware	Tyler	Houser	6-9	Sr
