division,team_name,first_name,last_name,height,year
mens-d1,ETSU,Jaylen,Smith,,
mens-d1,ETSU,Allen,Strothers,,
mens-d1,ETSU,Isaiah,Sutherland,,
mens-d1,ETSU,Brian,Taylor,,
mens-d1,East Carolina,Patrick,D'Arcy,,
mens-d1,East Texas A&M,London,Fields,,
mens-d1,East Texas A&M,Michael,Folarin,,
mens-d1,East Texas A&M,Damian,Garcia,,
mens-d1,East Texas A&M,Ronnie,Harrison,,
mens-d1,East Texas A&M,Gianni,Hunt,,
mens-d1,East Texas A&M,Alex,McCray,,
mens-d1,East Texas A&M,Tay,Mosher,,
mens-d1,East Texas A&M,Noah,Pagotto,,
mens-d1,East Texas A&M,Evan,Phelps,,
mens-d1,East Texas A&M,Mykol,Sanchez-Vega,,
mens-d1,East Texas A&M,Vinny,Sigona,,
mens-d1,East Texas A&M,Josh,Taylor,,
mens-d1,East Texas A&M,Parker,Whisenhunt,,
mens-d1,Eastern Ill.,Andrew,Austin,,
mens-d1,Eastern Ill.,Markus,Blackwell,,
mens-d1,Eastern Ill.,JT,Elder,,
mens-d1,Eastern Ill.,Nazareth,Fisher,,
mens-d1,Eastern Ill.,Zion,Fruster,,
mens-d1,Eastern Ill.,Kooper,Jacobi,,
mens-d1,Eastern Ill.,Prince,Johnson,,
mens-d1,Eastern Ill.,Terry,McMorris,,
mens-d1,Eastern Ill.,Malik,Olafioye,,
mens-d1,Eastern Ill.,Preston,Turner,,
mens-d1,Eastern Ill.,Andre,Washington,,
mens-d1,Eastern Ill.,Meechie,White,,
mens-d1,Eastern Ky.,Juan,"Cranford, Jr.",,
mens-d1,Eastern Mich.,Merritt,Alderink,,
mens-d1,Eastern Mich.,Mehki,Ellison,,
mens-d1,Eastern Mich.,Braelon,Green,,
mens-d1,Eastern Mich.,Mohammad,Habhab,,
mens-d1,Eastern Mich.,Carlos,Hart,,
mens-d1,Eastern Mich.,Gregory,Lawson,,
mens-d1,Eastern Mich.,Mak,Manciel,,
mens-d1,Eastern Mich.,Mbaye,N'Diaye,,
mens-d1,Eastern Mich.,Godslove,Nwabude,,
mens-d1,Eastern Mich.,Addison,Patterson,,
mens-d1,Eastern Mich.,Aidan,Rubio,,
mens-d1,Eastern Mich.,Jon,Sanders,,
mens-d1,Eastern Mich.,John,Shanu II,,
mens-d1,Eastern Mich.,Cooper,Smith,,
mens-d1,Elon,Ja'Juan,Carr,,
mens-d1,Elon,Bryson,Cokley,,
mens-d1,Elon,Chandler,Cuthrell,,
mens-d1,Elon,Iker,Garmendia,,
mens-d1,Elon,Isaac,Harrell,,
mens-d1,Elon,Ned,Hull,,
